ep,fg,net_mm,rho,grip_d,dur_s,n_slips,abs_mm
21,f0,-0.5054193277310919,-0.22682614927368902,1.7000000000000008,4.522065199999999,0,0.5054193277310919
40,f1,0.5018036324786324,-0.10611238517851644,0.0,2.9480224,2,0.5018036324786324
41,f1,-0.4972812631578942,-0.43187771603290365,-0.3999999999999999,1.9811081000000001,0,0.4972812631578942
46,f1,0.4402384444056626,0.9865481836356748,-19.85000000000001,4.633533999999999,1,0.4402384444056626
3,f1,-0.41873600217864926,0.28662227821778646,-0.09999999999999964,4.4146197,1,0.41873600217864926
22,f0,-0.4146701923076922,-0.4716881363166813,0.0,1.9365935000000007,4,0.4146701923076922
54,f1,0.4018233525964423,0.012342097856182828,0.2000000000000064,3.6096240999999996,0,0.4018233525964423
7,f1,-0.39305333333333314,-0.3019879474146362,-0.6000000000000005,2.6303115999999997,0,0.39305333333333314
20,f1,-0.3545448801198807,-0.4020886162452381,-4.2,1.8153952999999996,2,0.3545448801198807
13,f1,0.33911944444444453,0.06908016825558369,-0.6000000000000003,2.0350810999999993,5,0.33911944444444453
5,f1,-0.33529688062875707,-0.33774328447030266,-0.3000000000000007,3.7195694,2,0.33529688062875707
51,f0,-0.32125746981891345,-0.7109002307959303,-11.85,2.5519575999999997,0,0.32125746981891345
58,f0,-0.32031489471422425,-0.5702896738578235,11.3,2.427743199999999,0,0.32031489471422425
26,f1,0.31891675355707694,0.139460894452973,0.40000000000000036,3.3007712,0,0.31891675355707694
26,f0,-0.3136143589743581,-0.06427474394141905,-0.40000000000000036,3.3007712,0,0.3136143589743581
43,f0,0.2699209633576071,0.7723210792478965,6.449999999999999,3.2242886000000004,0,0.2699209633576071
30,f1,-0.23596992374727854,-0.31046164373168356,-1.9999999999999996,2.3541770999999994,6,0.23596992374727854
47,f0,-0.2100794366197184,0.03631787983456007,0.1999999999999993,5.719829799999999,0,0.2100794366197184
28,f0,0.2048729166666664,0.46513821864477034,0.20000000000000018,5.237830100000001,0,0.2048729166666664
51,f1,-0.20063040730337062,-0.3942619287040269,-24.700000000000003,1.7712357999999995,3,0.20063040730337062
3,f0,-0.19554665572860452,0.11216007567993351,2.599999999999998,4.4146197,4,0.19554665572860452
44,f0,0.1557674803693631,-0.15497221316864337,-3.3999999999999986,4.842842399999999,0,0.1557674803693631
46,f0,0.1482158587175536,0.7724571239252164,-2.4499999999999993,4.633533999999999,0,0.1482158587175536
53,f1,0.14217169434520416,0.3915505254471649,-21.599999999999994,3.8289105,3,0.14217169434520416
35,f0,0.1377339285714286,-0.28960309185959865,-0.20000000000000018,3.6012309999999994,4,0.1377339285714286
29,f1,-0.12540827759197448,-0.19423330617959358,0.20000000000000018,3.4654875,1,0.12540827759197448
6,f0,0.12041346801346764,-0.031662642165296136,-0.6000000000000001,2.0237511999999995,0,0.12041346801346764
34,f1,0.10449821428571449,-0.18067031511251547,0.39999999999999947,2.3786712999999997,4,0.10449821428571449
