cur,raw,raw_frames,cur_frames,start_cut,end_cut,start_s,end_s,kept_end_frame_raw,arm_onset,arm_end,speed_onset,speed_end,jaw_onset,jaw_end,load_onset,load_end,cur_t0,cur_frame0,vid_wrist_cur_from,vid_wrist_raw_from,vid_wrist_shift_vs_cut,vid_wrist_cur_len,vid_top_cur_from,vid_top_raw_from,vid_top_shift_vs_cut,vid_top_cur_len
86,70,545,374,105,66,3.5,2.2,478,118,474,117,474,115,369,4,504,0.0,0,36.0,32.5,0.0,12.467,36.0,32.5,0.0,12.467
87,71,578,441,105,32,3.5,1.067,545,122,542,123,545,171,437,263,520,0.0,0,54.167,50.667,0.0,14.7,54.167,50.667,0.0,14.7
88,72,456,310,107,39,3.567,1.3,416,118,415,118,416,188,309,104,356,-0.0,0,73.5,69.933,-0.0,10.333,73.5,69.933,-0.0,10.333
89,73,499,360,90,49,3.0,1.633,449,104,443,103,444,106,320,20,458,0.0,0,88.133,85.133,0.0,12.0,88.133,85.133,0.0,12.0
90,74,477,326,120,31,4.0,1.033,445,129,441,129,443,209,341,14,428,0.0,0,105.767,101.767,0.0,10.867,105.767,101.767,0.0,10.867
91,75,433,291,105,37,3.5,1.233,395,116,390,116,391,198,308,208,305,0.0,0,121.167,117.667,0.0,9.7,121.167,117.667,0.0,9.7
92,76,496,338,116,42,3.867,1.4,453,121,443,121,445,125,386,32,478,-0.0,0,135.967,132.1,0.0,11.267,135.967,132.1,0.0,11.267
93,27,501,341,109,51,3.633,1.7,449,3,459,3,460,3,444,238,372,0.0,0,3.633,0.0,0.0,11.367,588.167,584.533,-0.0,11.367
94,28,594,373,137,84,4.567,2.8,509,140,504,146,492,180,484,242,399,-0.0,0,21.267,16.7,0.0,12.433,605.8,601.233,0.0,12.433
95,29,482,294,156,32,5.2,1.067,449,169,463,174,464,260,382,351,382,-0.0,0,41.7,36.5,0.0,9.8,626.233,621.033,0.0,9.8
96,30,608,370,155,83,5.167,2.767,524,117,571,116,572,172,561,263,415,-0.0,0,57.733,52.567,-0.0,12.333,642.267,637.1,-0.0,12.333
97,31,807,540,210,57,7.0,1.9,749,224,749,223,750,251,708,331,648,0.0,0,79.833,72.833,0.0,18.0,664.367,657.367,0.0,18.0
98,32,615,465,115,35,3.833,1.167,579,138,577,137,578,195,479,329,480,-0.0,0,103.567,99.733,-0.0,15.5,3.833,0.0,0.0,15.5
99,33,647,518,87,42,2.9,1.4,604,3,602,2,603,158,494,219,489,0.0,0,123.133,120.233,0.0,17.267,23.4,20.5,-0.0,17.267
100,34,681,551,90,40,3.0,1.333,640,108,635,108,636,162,497,257,455,0.0,0,144.8,141.8,0.0,18.367,45.067,42.067,0.0,18.367
101,35,505,390,85,30,2.833,1.0,474,90,470,90,471,106,429,224,315,-0.0,0,167.333,164.5,0.0,13.0,67.6,64.767,-0.0,13.0
102,36,617,428,152,37,5.067,1.233,579,164,574,164,585,190,438,279,438,-0.0,0,186.4,181.333,-0.0,14.267,86.667,81.6,-0.0,14.267
103,37,617,470,122,25,4.067,0.833,591,133,592,132,596,137,452,322,446,-0.0,0,205.967,201.9,-0.0,15.667,106.233,102.167,-0.0,15.667
104,38,506,386,85,35,2.833,1.167,470,87,475,86,477,206,339,158,333,-0.0,0,225.3,222.467,0.0,12.867,125.567,122.733,-0.0,12.867
105,39,416,330,55,31,1.833,1.033,384,60,385,60,387,101,286,197,278,0.0,0,241.167,239.333,0.0,11.0,141.433,139.6,0.0,11.0
106,40,647,525,90,32,3.0,1.067,614,99,614,99,616,176,485,276,483,0.0,0,256.2,253.2,0.0,17.5,156.467,153.467,0.0,17.5
107,41,505,401,66,38,2.2,1.267,466,72,468,72,469,129,355,214,335,0.0,0,276.967,274.767,-0.0,13.367,177.233,175.033,-0.0,13.367
108,42,468,347,91,30,3.033,1.0,437,99,438,99,439,175,400,212,301,-0.0,0,294.633,291.6,0.0,11.567,194.9,191.867,-0.0,11.567
109,43,604,463,89,52,2.967,1.733,551,98,546,98,547,191,441,270,382,0.0,0,310.167,307.2,-0.0,15.433,210.433,207.467,0.0,15.433
110,44,601,510,60,31,2.0,1.033,569,77,567,77,568,72,433,269,425,0.0,0,329.333,327.333,0.0,17.0,229.6,227.6,0.0,17.0
111,45,449,364,54,31,1.8,1.033,417,68,415,68,416,117,301,180,296,-0.0,0,349.167,347.367,0.0,12.133,249.433,247.633,0.0,12.133
112,46,509,408,63,38,2.1,1.267,470,3,470,3,472,117,341,237,337,-0.0,0,364.433,362.333,0.0,13.6,264.7,262.6,0.0,13.6
113,127,500,279,154,67,5.133,2.233,432,3,414,2,415,3,328,229,318,0.0,0,474.3,249.233,219.933,9.3,474.3,249.233,219.933,9.3
114,128,441,319,48,74,1.6,2.467,366,61,349,62,349,156,273,163,234,0.0,0,483.6,265.9,216.1,10.633,483.6,265.9,216.1,10.633
115,129,397,344,29,24,0.967,0.8,372,45,356,44,356,151,241,163,243,0.0,0,494.233,280.6,212.667,11.467,494.233,280.6,212.667,11.467
116,130,451,339,67,45,2.233,1.5,405,86,389,87,390,138,270,156,434,0.0,0,505.7,293.833,209.633,11.3,505.7,293.833,209.633,11.3
117,131,488,300,98,90,3.267,3.0,397,116,380,115,381,146,290,34,486,0.0,0,517.0,308.867,204.867,10.0,517.0,308.867,204.867,10.0
118,132,454,341,77,36,2.567,1.2,417,96,398,99,399,134,289,50,297,0.0,0,527.0,325.133,199.3,11.367,527.0,325.133,199.3,11.367
119,133,382,276,66,40,2.2,1.333,341,84,330,86,331,148,268,141,232,0.0,0,538.367,340.267,195.9,9.2,538.367,340.267,195.9,9.2
120,134,420,314,35,71,1.167,2.367,348,52,332,54,333,131,244,140,236,0.0,0,547.567,353.0,193.4,10.467,547.567,353.0,193.4,10.467
121,135,397,284,54,59,1.8,1.967,337,73,335,78,336,155,252,165,244,0.0,0,558.033,367.0,189.233,9.467,558.033,367.0,189.233,9.467
122,136,511,281,51,179,1.7,5.967,331,67,325,67,317,135,226,144,222,0.0,0,567.5,380.233,185.567,9.367,567.5,380.233,185.567,9.367
123,137,375,294,35,46,1.167,1.533,328,52,310,51,311,118,216,119,227,0.0,0,576.867,397.267,178.433,9.8,576.867,397.267,178.433,9.8
124,138,381,322,37,22,1.233,0.733,358,53,341,53,342,97,252,127,247,0.0,0,586.667,409.767,175.667,10.733,586.667,409.767,175.667,10.733
125,139,476,340,58,78,1.933,2.6,397,75,378,75,367,120,270,160,262,0.0,0,597.4,422.467,173.0,11.333,597.4,422.467,173.0,11.333
126,140,523,355,85,83,2.833,2.767,439,103,421,102,422,136,317,173,309,0.0,0,608.733,438.333,167.567,11.833,608.733,438.333,167.567,11.833
127,141,569,297,95,177,3.167,5.9,391,115,374,119,375,172,298,181,256,0.0,0,620.567,0.0,617.4,9.9,620.567,0.0,617.4,9.9
128,142,599,300,49,250,1.633,8.333,348,66,327,65,317,95,232,148,230,0.0,0,630.467,18.967,609.867,10.0,630.467,18.967,609.867,10.0
129,143,473,351,40,82,1.333,2.733,390,54,370,53,354,103,271,172,266,0.0,0,640.467,38.933,600.2,11.7,640.467,38.933,600.2,11.7
130,144,488,343,47,98,1.567,3.267,389,58,372,58,374,164,278,172,310,0.0,0,652.167,54.7,595.9,11.433,652.167,54.7,595.9,11.433
131,145,450,365,55,30,1.833,1.0,419,71,399,71,400,126,337,183,294,0.0,0,0.0,70.967,-72.8,12.167,0.0,70.967,-72.8,12.167
132,146,420,353,6,61,0.2,2.033,358,22,343,21,345,99,242,142,229,0.0,0,12.167,85.967,-74.0,11.767,12.167,85.967,-74.0,11.767
133,147,396,282,54,60,1.8,2.0,335,70,315,70,307,91,237,145,226,0.0,0,23.933,99.967,-77.833,9.4,23.933,99.967,-77.833,9.4
134,148,503,347,57,99,1.9,3.3,403,74,386,73,386,123,299,180,278,0.0,0,33.333,113.167,-81.733,11.567,33.333,113.167,-81.733,11.567
135,149,407,326,59,22,1.967,0.733,384,75,366,75,367,96,266,131,241,0.0,0,44.9,129.933,-87.0,10.867,44.9,129.933,-87.0,10.867
136,150,399,288,50,61,1.667,2.033,337,66,322,66,309,91,228,142,218,0.0,0,55.767,143.5,-89.4,9.6,55.767,143.5,-89.4,9.6
137,151,420,276,121,23,4.033,0.767,396,138,379,138,380,189,289,185,286,0.0,0,65.367,156.8,-95.467,9.2,65.367,156.8,-95.467,9.2
138,152,512,344,88,80,2.933,2.667,431,103,414,103,415,126,321,175,319,0.0,0,74.567,170.8,-99.167,11.467,74.567,170.8,-99.167,11.467
139,153,498,312,49,137,1.633,4.567,360,63,339,63,334,100,243,122,496,0.0,0,86.033,187.867,-103.467,10.4,86.033,187.867,-103.467,10.4
140,154,386,305,56,25,1.867,0.833,360,72,343,71,337,92,222,139,212,0.0,0,96.433,204.467,-109.9,10.167,96.433,204.467,-109.9,10.167
141,155,355,297,32,26,1.067,0.867,328,45,305,45,300,113,213,121,203,0.0,0,106.6,217.333,-111.8,9.9,106.6,217.333,-111.8,9.9
142,156,438,325,64,49,2.133,1.633,388,78,371,77,351,154,280,165,265,0.0,0,116.5,229.167,-114.8,10.833,116.5,229.167,-114.8,10.833
