ep,finger,t,label,conf,jaw,cls,fn_hold_N,fn_near_N,fn_last_N,fn_near_ratio,fn_slope_near_rel,unload_80to20_s,fn_post_N,active_hold,active_last,active_slope_near,copy_travel_near_mm,copx_travel_near_mm,cop_speed_near_mm_s,copy_hold_mm,fs_hold_N,fs_near_N,mu_hold,mu_near,mu_max_near,mu_slope_near,shear_swing_deg,tau_max_near,tau_hold,hf_max_near,hf_hold,partner_fn_near_N,partner_fn_post_N,partner_slope_near_rel,partner_mu_near
15,0,7.976232192,release,medium,32.6,deliberate,3.248888888888889,3.0780487804878054,1.4705882352941178,0.947415835307464,-1.9656726358163747,0.1654039040000006,0.0,6.688888888888889,7.352941176470588,-0.028352013198255234,1.359591176470588,3.3038411764705886,2.050448349815962,0.6063088235294115,1.8919034767746739,2.625936110571343,0.5823232315653925,0.8759590490421643,1.3287682265918312,1.4829159637061526,73.7150775281166,3.037739999999998,0.43844711111111095,41.89615113352635,18.97760457783706,4.409756097560975,0.0,-3.151342430790283,0.8330538318272268
16,1,2.815539712,drop,low,,loss,0.0,0.7121951219512195,2.2,,,0.0,0.0,0.0,11.0,36.03398390962509,2.348420535714286,-2.7114151785714293,22.62018172747083,,0.0,0.8105991878728547,,1.1605930803597446,1.25,-1.57243592625915,,2.280751578947368,0.0,45.577681424611214,0.0,0.0,0.0,,
16,1,8.372594432,release,high,27.2,deliberate,6.520000000000002,6.307317073170732,5.411764705882354,0.9673799191979647,-0.29850172719406126,0.06558975999999994,0.0,31.77777777777778,26.823529411764707,-7.9204556529932315,-0.3787222222222235,2.5122047619047616,0.31117118733143334,4.490113133459902,6.004248403465845,6.000803145725925,0.9210432237755177,0.9581573678458309,1.2571789316613415,0.4111378324168805,9.231367744459675,10.443529846153844,8.224314202003697,69.54230263718651,13.639305180855784,5.043902439024391,0.24347826086956523,-0.3766112664602078,0.9757886052001401
16,0,8.472244736,release,high,30.7,deliberate,5.235555555555555,4.4073170731707325,2.6411764705882357,0.8418050436871094,-1.4813378836562143,0.16525567999999957,0.0,25.0,13.176470588235293,-35.68763897209095,-2.909745512820512,3.448936965811966,-6.442709846219373,2.86965399854862,5.03587132480567,4.378010809162047,0.9619399426273691,1.0140514473934026,1.2668615834434866,0.47835789267280004,15.266674931120747,2.7285523809523813,1.9876289488792138,38.56658418452855,0.05333359313265582,5.104878048780488,0.0,-2.123911085350276,1.0187937817726123
17,1,8.616594688,release,high,33.3,deliberate,6.653333333333332,6.382926829268293,5.4411764705882355,0.959357739869984,-0.2263578084860886,0.06631270399999956,0.0,29.08888888888889,24.88235294117647,-3.6915278642581804,-1.2368541055718492,-0.3437982404692086,-0.5313962624456631,3.9894844876477817,5.426629231009498,5.38830217353774,0.8119222981738309,0.8461938903153143,1.1180339887498947,0.3653383840998402,1.1829767309012027,14.15833888888889,9.446520440455911,68.57910457257456,45.50636096653296,4.478048780487805,0.0,-0.2486052868073616,0.9471209875170769
17,0,8.660252672,release,high,33.3,deliberate,4.573333333333332,4.258536585365855,3.294117647058824,0.931166891843846,-0.7277219653253545,0.10997068800000065,0.0,20.488888888888887,15.882352941176471,-10.908609466572598,-2.2674365248226946,-0.35352375886524845,-2.6369250151621295,2.239142680557242,4.24519479376973,4.056868585086832,0.9283732147685451,0.960110048566151,1.0943175335329005,0.3059574859652065,4.893906307822363,3.8053866666666663,2.47396259199872,38.5573415091838,2.917463510445621,6.082926829268294,0.0,-0.8873322933547537,0.8922407144723774
18,1,6.85544704,release,high,25.5,deliberate,6.379999999999998,5.785365853658536,4.9411764705882355,0.9067971557458524,-0.2668229063104814,0.09893887999999951,0.0,29.444444444444443,23.41176470588235,-4.944455073249775,-0.8605345755693588,2.2387004140786746,0.12044302499046898,4.547633596058983,6.0448696128362425,6.1150129442407275,0.9559673847420116,1.065455221094676,1.286595817724409,0.2086450631152091,5.366919318685291,10.143611785714286,4.821054278728622,73.22908567313729,23.033714492725075,4.348780487804879,0.0,-0.47682983064967865,0.9649227607551871
18,0,6.909538048,release,high,25.5,deliberate,4.591111111111112,4.021951219512196,2.7647058823529416,0.8760300332916203,-1.1647397687192105,0.13130700800000028,0.0,18.933333333333334,12.705882352941176,-17.474936613736926,-1.873734239130435,1.7430891304347833,-3.8496957341487055,2.021336287725371,4.34063080468834,3.966160555641205,0.9454363851931588,1.0238191942151142,1.4142135623730951,0.8834949198898625,5.688979943503398,5.6626134782608695,5.268651004929604,44.18589081030617,12.62856213254819,5.246341463414635,0.0,-1.1805842644317535,1.095766981974327
19,1,3.667449088,drop,low,-42.0,loss,0.0,0.931707317073171,1.2941176470588238,,,0.0,0.0,0.0,6.470588235294118,16.396049895024554,-0.46984333333333694,-1.16826,1.235234861897651,,0.0,1.0964429402040257,,1.1946957978753199,1.4142135623730951,0.28256029766478274,,3.3470649999999997,0.0,62.44136289401231,0.0,0.0,1.4173913043478266,,
19,1,6.183197184,release,high,38.5,deliberate,5.486666666666668,5.365853658536586,4.611764705882353,0.9779806182022937,-0.2955058779975857,0.06596044800000023,0.0,25.488888888888887,21.941176470588236,-5.5042874300782545,-1.2580639285714303,0.00021357142857025835,-1.2898967233697862,3.8352324090594587,4.578061649658093,4.427860241531483,0.8348234002659466,0.8298020280343026,1.004987562112089,0.40919764126940494,6.206597234215593,14.03411896551724,11.393160207682879,56.39665701405474,16.54731151259191,4.409756097560977,0.0,-0.06746653327694964,1.0614903152398578
19,0,6.205912832,release,high,38.5,deliberate,4.131111111111112,4.385365853658538,3.711764705882354,1.0615463335913617,-0.30357740182082366,0.04511462399999999,0.0,20.155555555555555,18.352941176470587,-5.326716612717856,-0.03077315233785849,0.5565782805429857,-0.5137178975947855,2.093743761896103,4.511489538167373,4.642496006219315,1.0961671161506779,1.0646714848618966,1.191085690077446,0.17243130658103253,0.35514880925623515,4.437485128205129,3.557970398496698,46.34330772171648,9.378327986255055,5.239024390243903,0.0,-0.5363037376413136,0.8426018198594404
20,1,6.093376256,release,high,28.1,deliberate,3.693333333333334,3.6439024390243904,3.2117647058823535,0.9866161838513691,-0.17797308317819452,0.07617740800000039,0.0,18.466666666666665,16.058823529411764,-3.286569602690669,0.0,0.0,-0.31989615053284354,5.239375069725594,4.302946120573426,4.25383189100617,1.1648534828072898,1.1665056293163756,1.211669940339088,0.01772295030459358,0.00616427112086626,1.6010315789473668,0.9162141921727363,74.31600771057485,15.798869209918664,3.2146341463414645,0.28695652173913044,-0.1721728825767842,1.050438595778101
20,0,6.1821888,release,high,28.1,deliberate,3.155555555555557,3.136585365853659,2.729411764705883,0.9939883201648916,-0.5425121952018936,0.0445954559999997,0.0,15.777777777777779,13.647058823529411,-8.559636857629874,-1.51548987854251,0.9418696356275301,-2.025119101402367,1.022569331662489,3.286799447109604,3.2958585430749268,1.0363679565019304,1.0449651129768045,1.1065155811383494,-0.13394594615144492,5.432662617573953,3.7153726315789477,1.8864553851294905,57.79063250239215,35.960503345399744,3.0682926829268298,0.0,-1.8499116616836417,1.1557779611536463
21,1,4.45591808,drop,low,0.0,loss,0.68,3.9560975609756093,3.4588235294117644,5.817790530846484,-3.65202183602961,0.0,0.0,3.4,17.294117647058822,-12.41687424250067,0.8902385294117643,2.7342829411764713,2.1617859571730063,14.557101309107555,0.7177199339628201,4.030250893490382,1.10182397932319,1.0226487792045904,1.1792476415070756,0.14808254371844856,26.150258188204305,12.32496666666667,0.46231620465337153,52.495210044096225,12.623498444457926,0.0,0.0,,
21,0,12.730677504,release,high,37.0,deliberate,2.977777777777778,2.717073170731708,2.2823529411764705,0.9124499453949765,-1.0215903943167248,0.24208896000000024,0.0,14.88888888888889,11.411764705882353,-15.210345870937898,-1.5244908496732013,0.6236732026143792,-2.17182462347667,1.7275719136403087,3.778105711743535,3.5649368879860464,1.2850706870160946,1.3271903341042481,1.4142135623730951,0.25682321843418204,0.5298389523168225,4.256877333333335,1.6896750915835343,32.051819026683525,23.295518828219215,2.6243902439024396,0.36363636363636365,-1.1736164116104162,0.6649639149554537
